Mean pitch (F0),Hauteur moyenne (F0),31.01562,semitones,0.00409,Average fundamental frequency represented in semitones relative to 27.5 Hz.,Fréquence fondamentale moyenne exprimée en demi-tons par rapport à 27,5 Hz.
Pitch variation (F0 SD),Variation de hauteur (écart-type F0),0.16380809,semitones,0.00448,Standard deviation of the fundamental frequency across the utterance. It describes pitch variability across the recording.,Écart-type de la fréquence fondamentale sur l'énoncé. Il décrit la variabilité de la hauteur sur l'enregistrement.
Loudness (RMS intensity),Intensité sonore (RMS),0.21525176,normalized,0.17972,Average acoustic loudness across the utterance.,Intensité acoustique moyenne sur l'ensemble de l'énoncé.
Speech rate,Débit de parole,3.9,syll/s,0.15,Number of syllables produced per second including pauses. Both slowed and accelerated rates are clinically relevant.,Nombre de syllabes produites par seconde pauses incluses. Un débit ralenti comme accéléré est cliniquement pertinent.
Articulation rate,Débit articulatoire,4.6,syll/s,0.09,Syllables per second excluding pauses; isolates articulatory speed from pausing behaviour.,Syllabes par seconde hors pauses ; isole la vitesse articulatoire du comportement de pause.
Pause ratio,Taux de pauses,0.28,-,0.11,Proportion of the recording occupied by silent pauses; higher values can reflect slowed speech planning.,Proportion de l'enregistrement occupée par des pauses silencieuses ; des valeurs élevées peuvent refléter une planification de la parole ralentie.
Jitter (local),Jitter (local),0.026467036,relative,0.05475,Cycle-to-cycle variability of the fundamental period. Elevated jitter indicates greater short-term irregularity of vocal-fold vibration.,Variabilité cycle à cycle de la période fondamentale. Un jitter élevé indique une irrégularité à court terme plus importante de la vibration des cordes vocales.
Shimmer (local),Shimmer (local),1.26189,relative,0.01376,Cycle-to-cycle variability of amplitude. Elevated shimmer indicates greater short-term amplitude irregularity.,Variabilité cycle à cycle de l'amplitude. Un shimmer élevé indique une irrégularité à court terme plus importante de l'amplitude.
HNR,HNR (rapport harmoniques/bruit),6.317715,dB,0.10165,Harmonics-to-noise ratio: energy in harmonics versus aperiodic noise. Lower values indicate a noisier voice.,Rapport harmoniques/bruit : énergie des harmoniques par rapport au bruit apériodique. Des valeurs faibles indiquent une voix plus bruitée.
F1,F1,571.40924,Hz,0.10310,First formant frequency, largely reflecting vocal-tract resonance and vowel articulation.,Fréquence du premier formant reflétant principalement la résonance du conduit vocal et l'articulation des voyelles.
F2,F2,1625.7345,Hz,0.00609,Second formant frequency, reflecting tongue advancement and vocal-tract configuration.,Fréquence du deuxième formant reflétant l'avancée de la langue et la configuration du conduit vocal.
F3,F3,2649.9727,Hz,0.02735,Third formant frequency, related to finer vocal-tract shaping and resonance characteristics.,Fréquence du troisième formant liée à la configuration fine du conduit vocal et aux caractéristiques de résonance.
